asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd,fold
ARB,2024-12-06 12:00:00+00:00,1.2107,-1.0,0.8640020000000002,1.2533159642857143,3750.0,3.0,0.9263191223144531,0.9263191223144531,False,8.14,2024-12-11 16:00:00+00:00,True,1.1572,1.1704730840000002,2024-12-07 00:00:00+00:00,1.1704730840000002,trailing_sl_hit,119.72311266209611,3
APT,2024-12-07 00:00:00+00:00,15.13,-1.0,11.43024,15.584772857142857,2559.861556331048,2.0,0.8865811228752136,0.8865811228752136,False,8.14,2024-12-12 04:00:00+00:00,True,14.21,14.372988700000002,2024-12-08 04:00:00+00:00,14.372988700000002,trailing_sl_hit,124.75176520996105,3
DOT,2024-12-09 00:00:00+00:00,10.052,1.0,10.997920919393625,9.687961953912207,3933.3561584040435,3.0,0.9476756453514099,0.9476756453514099,False,2.6,2024-12-14 04:00:00+00:00,False,,,2024-12-09 08:00:00+00:00,9.874,mss_invalidation,-74.76491455744893,3
TRX,2024-12-09 04:00:00+00:00,0.3046,1.0,0.3269921873807851,0.29598235768487047,2622.237438936029,2.0,0.8502200841903687,0.8502200841903687,False,2.6,2024-12-14 08:00:00+00:00,False,,,2024-12-09 08:00:00+00:00,0.3045,mss_invalidation,-4.269787672237238,3
TRX,2024-12-09 08:00:00+00:00,0.2937,-1.0,0.24788560000000004,0.29933148571428575,2582.720087821186,2.0,0.895812451839447,0.895812451839447,False,8.14,2024-12-14 12:00:00+00:00,True,0.2901,0.29342744700000006,2024-12-09 16:00:00+00:00,0.29342744700000006,trailing_sl_hit,-0.9607771489111349,3
ADA,2024-12-09 08:00:00+00:00,1.1034,-1.0,0.9190711999999998,1.1260576142857142,6456.800219552965,5.0,0.9739899039268494,0.9739899039268494,False,8.14,2024-12-14 12:00:00+00:00,True,0.91,0.9204377000000001,2024-12-09 20:00:00+00:00,0.9204377000000001,trailing_sl_hit,1062.2523612823848,3
ATOM,2024-12-09 20:00:00+00:00,8.395,-1.0,5.8476040000000005,8.708124785714284,4670.048819831885,3.0,0.9532382488250732,0.9532382488250732,False,8.14,2024-12-15 00:00:00+00:00,True,7.791,7.880362770000001,2024-12-10 00:00:00+00:00,7.880362770000001,trailing_sl_hit,280.21612993541476,3
LINK,2024-12-09 20:00:00+00:00,22.25,-1.0,14.52912,23.199047142857143,4670.048819831885,3.0,0.9472147822380066,0.9472147822380066,False,8.14,2024-12-15 00:00:00+00:00,True,20.69,20.927314300000003,2024-12-10 00:00:00+00:00,20.927314300000003,trailing_sl_hit,271.54721933392636,3
TRX,2024-12-09 20:00:00+00:00,0.2629,-1.0,0.19784520000000005,0.2708965071428572,4670.048819831885,3.0,0.9200416803359985,0.9200416803359985,False,8.14,2024-12-15 00:00:00+00:00,True,0.2439,0.24669753300000002,2024-12-10 00:00:00+00:00,0.24669753300000002,trailing_sl_hit,281.74297948482734,3
ATOM,2024-12-10 16:00:00+00:00,7.7,1.0,9.31002381509752,7.080381687531942,1765.0595221325038,1.0,0.8258620500564575,0.8258620500564575,False,2.6,2024-12-15 20:00:00+00:00,True,8.02,7.9280105999999995,2024-12-11 00:00:00+00:00,7.9280105999999995,trailing_sl_hit,49.971952579298424,3
LINK,2024-12-13 00:00:00+00:00,30.15,-1.0,20.96652,31.278829285714284,5332.657530831985,3.0,0.9369391202926636,0.9369391202926636,False,8.14,2024-12-18 04:00:00+00:00,True,27.53,27.845769100000005,2024-12-13 16:00:00+00:00,27.845769100000005,trailing_sl_hit,400.61893033962747,3
ADA,2024-12-14 12:00:00+00:00,1.0789,1.0,1.1829002162951676,1.0388754749508338,1877.7072428622353,1.0,0.8123914003372192,0.8123914003372192,False,2.6,2024-12-19 16:00:00+00:00,True,1.0969,1.084318557,2024-12-15 08:00:00+00:00,1.084318557,trailing_sl_hit,6.989385371341799,3
TRX,2024-12-14 16:00:00+00:00,0.2812,1.0,0.30433717460352994,0.27229564905271314,1877.7072428622353,1.0,0.7863169312477112,0.7863169312477112,False,2.6,2024-12-19 20:00:00+00:00,True,0.2893,0.285981729,2024-12-16 00:00:00+00:00,0.285981729,trailing_sl_hit,29.48887808322794,3
OP,2024-12-17 12:00:00+00:00,2.363,-1.0,1.8574760000000001,2.4251387857142856,3773.6536174517555,2.0,0.8543459177017212,0.8543459177017212,False,8.14,2024-12-22 16:00:00+00:00,True,2.307,2.3334612900000002,2024-12-17 20:00:00+00:00,2.3334612900000002,trailing_sl_hit,42.26685285607589,3
APT,2024-12-17 20:00:00+00:00,12.94,-1.0,9.8912,13.314757142857143,3794.7870438797936,2.0,0.8985522389411926,0.8985522389411926,False,8.14,2024-12-23 00:00:00+00:00,True,12.69,12.8355543,2024-12-18 00:00:00+00:00,12.8355543,trailing_sl_hit,25.696544165131964,3
NEAR,2024-12-18 00:00:00+00:00,6.248,-1.0,4.8175360000000005,6.423832,1903.8176579811798,1.0,0.7891246676445007,0.7891246676445007,False,8.14,2024-12-23 04:00:00+00:00,True,6.142,6.212448740000001,2024-12-18 04:00:00+00:00,6.212448740000001,trailing_sl_hit,8.357802177703606,3
ATOM,2024-12-17 20:00:00+00:00,8.546,1.0,9.43125767411298,8.205308228245022,5692.18056581969,3.0,0.9346939325332642,0.9346939325332642,False,2.6,2024-12-23 00:00:00+00:00,True,8.682,8.58241746,2024-12-18 12:00:00+00:00,8.58241746,trailing_sl_hit,16.856514207626663,3
SUI,2024-12-18 04:00:00+00:00,4.5043,1.0,4.944183027006944,4.335010840223891,5717.721325576817,3.0,0.9431586861610413,0.9431586861610413,False,2.6,2024-12-23 08:00:00+00:00,True,4.763,4.70836839,2024-12-18 16:00:00+00:00,4.70836839,trailing_sl_hit,251.60969597102687,3
