asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
DOT,2025-11-25 12:00:00+00:00,2.223,-1.0,1.8604400000000005,2.267565714285714,3750.0,3.0,0.9349122047424316,0.9349122047424316,False,8.14,2025-11-30 16:00:00+00:00,2025-11-25 20:00:00+00:00,2.267565714285714,sl,-80.05333044148801
UNI,2025-11-22 20:00:00+00:00,6.161,1.0,7.0839327422346425,5.805808963133064,2500.0,2.0,0.8933185935020447,0.8933185935020447,False,2.6,2025-11-28 00:00:00+00:00,2025-11-28 00:00:00+00:00,6.11,time,-23.194692420061383
ATOM,2025-11-24 12:00:00+00:00,2.438,1.0,2.596362998206313,2.44685,3750.0,3.0,0.9408366680145264,0.9408366680145264,True,2.6,2025-11-29 16:00:00+00:00,2025-11-28 20:00:00+00:00,2.44685,sl,8.737592288760975
ICP,2025-11-29 12:00:00+00:00,3.989,1.0,4.451535714285714,3.8656571428571427,2759.337882802807,3.0,0.9315037727355957,0.9315037727355957,False,3.75,2025-12-04 16:00:00+00:00,2025-11-30 20:00:00+00:00,3.96,mss_invalidation,-23.6475049035176
ATOM,2025-11-30 20:00:00+00:00,2.376,-1.0,2.16794,2.3603,6102.302580654618,5.0,0.983794629573822,0.983794629573822,True,8.14,2025-12-06 00:00:00+00:00,2025-12-01 12:00:00+00:00,2.16794,tp,528.2601026933345
ICP,2025-12-01 00:00:00+00:00,3.582,-1.0,3.0654642857142855,3.719742857142857,1830.6907741963855,2.0,0.902661919593811,0.902661919593811,False,3.75,2025-12-06 04:00:00+00:00,2025-12-01 12:00:00+00:00,3.719742857142857,sl,-72.77760258012334
ATOM,2025-12-01 12:00:00+00:00,2.171,-1.0,1.8871320000000003,2.205892928571428,4002.9934234776792,3.0,0.9510312080383301,0.9510312080383301,False,8.14,2025-12-06 16:00:00+00:00,2025-12-01 16:00:00+00:00,2.205892928571428,sl,-69.54113861648324
POL,2025-12-01 12:00:00+00:00,0.1192,-1.0,0.10325560000000003,0.12115987857142857,4002.9934234776792,3.0,0.9657080173492432,0.9657080173492432,False,8.14,2025-12-06 16:00:00+00:00,2025-12-02 08:00:00+00:00,0.12115987857142857,sl,-71.0208464190058
APT,2025-11-29 08:00:00+00:00,2.078,-1.0,1.750048,2.06065,3679.1171770704095,3.0,0.9674925208091736,0.9674925208091736,True,8.14,2025-12-04 12:00:00+00:00,2025-12-04 12:00:00+00:00,1.996,time,141.50260010867217
OP,2025-12-05 12:00:00+00:00,0.3124,1.0,0.3373464292873386,0.302799356660331,2669.132589855045,2.0,0.8972933292388916,0.8972933292388916,False,2.6,2025-12-10 16:00:00+00:00,2025-12-05 16:00:00+00:00,0.302799356660331,sl,-85.49736923456251
