fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd
1,79.61,766.34,-8.2,93.425,4.157,35.38,2.16,65,19,25,5,0,16,322.76,-98.37,31,34,45.16,26.47,65.05,14.56,6.11,48542.986,3980.52
2,258.29,10951.13,-8.76,1250.458,6.371,37.96,3.87,108,30,49,6,0,23,424.75,-77.59,54,54,37.04,38.89,106.84,151.45,4.84,147427.869,12914.68
3,43.53,279.02,-10.01,27.863,2.621,32.71,1.52,107,30,53,2,0,22,181.21,-67.19,58,49,41.38,22.45,23.03,20.5,2.536,21744.753,2176.65
4,276.36,13148.9,-21.34,616.293,4.89,39.47,2.97,114,29,51,10,0,24,462.61,-127.26,44,70,31.82,44.29,32.98,243.38,3.053,64751.932,13818.06
5,285.19,14331.05,-12.17,1177.998,5.257,40.52,3.52,116,31,45,10,0,30,423.98,-103.05,48,68,43.75,38.24,43.64,241.55,3.36,117168.383,14259.39
