asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
POL,2026-03-03 04:00:00+00:00,0.1003,1.0,0.11043182622932865,0.09640076260266002,3750.0,3.0,0.9350747466087341,0.9350747466087341,False,2.6,2026-03-08 08:00:00+00:00,True,0.1025,0.10132432499999999,2026-03-03 16:00:00+00:00,0.10132432499999999,trailing_sl_hit,33.42229561316024
ADA,2026-03-04 04:00:00+00:00,0.265,1.0,0.28807331855586615,0.25612022407832663,3775.06672170987,3.0,0.9664945006370544,0.9664945006370544,False,2.6,2026-03-09 08:00:00+00:00,True,0.2743,0.271153779,2026-03-04 08:00:00+00:00,0.271153779,trailing_sl_hit,82.7562861510486
TRX,2026-03-04 16:00:00+00:00,0.2877,1.0,0.29234020613023876,0.28591421480541995,6395.223227205261,5.0,0.9747718572616577,0.9747718572616577,False,2.6,2026-03-09 20:00:00+00:00,False,,,2026-03-05 00:00:00+00:00,0.28591421480541995,sl,-48.00963640731559
AVAX,2026-03-04 12:00:00+00:00,9.72,1.0,10.467115757666882,9.4324722003222,3837.1339363231564,3.0,0.922376275062561,0.922376275062561,False,2.6,2026-03-09 16:00:00+00:00,False,,,2026-03-05 04:00:00+00:00,9.4324722003222,sl,-118.49472244849723
NEAR,2026-03-06 16:00:00+00:00,1.232,1.0,1.350559395162522,1.1863723691109587,3712.2556671812968,3.0,0.9335026741027832,0.9335026741027832,False,2.6,2026-03-11 20:00:00+00:00,True,1.247,1.23269691,2026-03-07 04:00:00+00:00,1.23269691,trailing_sl_hit,-2.72600696391401
OP,2026-03-06 16:00:00+00:00,0.1199,1.0,0.13003182622932866,0.11600076260266003,0.0,0.0,0.7099546194076538,0.7099546194076538,False,2.6,2026-03-11 20:00:00+00:00,False,,,2026-03-08 00:00:00+00:00,0.11600076260266003,sl,-0.0
POL,2026-03-07 16:00:00+00:00,0.0954,-1.0,0.0832048,0.09689902857142857,3710.211161958361,3.0,0.9237142205238342,0.9237142205238342,False,8.14,2026-03-12 20:00:00+00:00,True,0.0933,0.094370151,2026-03-08 04:00:00+00:00,0.094370151,trailing_sl_hit,35.22868832940857
OP,2026-03-08 04:00:00+00:00,0.1148,1.0,0.12280329130720077,0.1117199301231096,2491.088452136945,2.0,0.8852470517158508,0.8852470517158508,False,2.6,2026-03-13 08:00:00+00:00,True,0.1169,0.11555915700000001,2026-03-08 12:00:00+00:00,0.11555915700000001,trailing_sl_hit,13.234818775801696
ATOM,2026-03-08 12:00:00+00:00,1.727,-1.0,1.5626120000000001,1.7472065,2497.7058615248457,2.0,0.8887777328491211,0.8887777328491211,False,8.14,2026-03-13 16:00:00+00:00,False,,,2026-03-08 16:00:00+00:00,1.7472065,sl,-32.47104396097931
SUI,2026-03-08 20:00:00+00:00,0.88,1.0,0.9321278202429115,0.8599385874241899,3722.2055093165345,3.0,0.9640384912490845,0.9640384912490845,False,2.6,2026-03-14 00:00:00+00:00,True,0.9081,0.8976840930000001,2026-03-09 00:00:00+00:00,0.8976840930000001,trailing_sl_hit,69.96093782864557
ATOM,2026-03-09 00:00:00+00:00,1.734,1.0,1.8174385689474124,1.7018886331983767,6291.127021146698,5.0,0.9715715646743774,0.9715715646743774,False,2.6,2026-03-14 04:00:00+00:00,True,1.764,1.74376692,2026-03-09 04:00:00+00:00,1.74376692,trailing_sl_hit,27.25690645577278
SUI,2026-03-10 12:00:00+00:00,0.9978,1.0,1.0873048934754768,0.9633540057650953,6325.198154216414,5.0,0.9696574211120605,0.9696574211120605,False,2.6,2026-03-15 16:00:00+00:00,False,,,2026-03-10 16:00:00+00:00,0.9633540057650953,sl,-226.58088463472507
FIL,2026-03-10 16:00:00+00:00,0.874,-1.0,0.6960160000000004,0.8958777142857143,2416.788819369203,2.0,0.8531264662742615,0.8531264662742615,False,8.14,2026-03-15 20:00:00+00:00,True,0.853,0.8627839100000001,2026-03-10 20:00:00+00:00,0.8627839100000001,trailing_sl_hit,27.872958183605483
FIL,2026-03-10 20:00:00+00:00,0.866,1.0,0.9581655621281364,0.8305300463645334,6076.813246152514,5.0,0.9735812544822693,0.9735812544822693,False,2.6,2026-03-16 00:00:00+00:00,True,0.914,0.9035164200000001,2026-03-11 12:00:00+00:00,0.9035164200000001,trailing_sl_hit,255.35681484030397
