asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
OP,2026-02-15 00:00:00+00:00,0.1958,1.0,0.20852863883432465,0.19090137822771155,2500.0,2.0,0.8645831942558289,0.8645831942558289,False,2.6,2026-02-20 04:00:00+00:00,True,0.1984,0.196124352,2026-02-15 08:00:00+00:00,0.196124352,trailing_sl_hit,0.8913687436159343
OP,2026-02-15 08:00:00+00:00,0.1943,1.0,0.20685835604055441,0.1894669116293475,1250.222842185904,1.0,0.8424491882324219,0.8424491882324219,False,2.6,2026-02-20 12:00:00+00:00,False,,,2026-02-15 12:00:00+00:00,0.1894669116293475,sl,-32.72378418425393
FIL,2026-02-15 08:00:00+00:00,0.994,1.0,1.068711575766688,0.96524722003222,3750.668526557712,3.0,0.9367883205413818,0.9367883205413818,False,2.6,2026-02-20 12:00:00+00:00,False,,,2026-02-15 16:00:00+00:00,0.96524722003222,sl,-113.36897459377212
NEAR,2026-02-15 20:00:00+00:00,1.056,1.0,1.124964531476943,1.0294589723374339,1213.6996524913975,1.0,0.7526471018791199,0.7526471018791199,False,2.6,2026-02-21 00:00:00+00:00,True,1.075,1.06266975,2026-02-16 12:00:00+00:00,1.06266975,trailing_sl_hit,6.08797952108353
NEAR,2026-02-16 12:00:00+00:00,1.031,1.0,1.1114586200564334,1.000035467727006,1215.2216473716685,1.0,0.8339019417762756,0.8339019417762756,False,2.6,2026-02-21 16:00:00+00:00,True,1.066,1.05377298,2026-02-17 04:00:00+00:00,1.05377298,trailing_sl_hit,25.262324633549834
ATOM,2026-02-16 20:00:00+00:00,2.292,-1.0,1.9726999999999995,2.331248214285714,3645.6649421150055,3.0,0.9451543688774109,0.9451543688774109,False,8.14,2026-02-22 00:00:00+00:00,True,2.223,2.24849781,2026-02-17 12:00:00+00:00,2.24849781,trailing_sl_hit,64.45540389472063
ADA,2026-02-17 04:00:00+00:00,0.2865,1.0,0.3073170715384105,0.27848854165000314,2443.074457060112,2.0,0.8829783797264099,0.8829783797264099,False,2.6,2026-02-22 08:00:00+00:00,False,,,2026-02-18 16:00:00+00:00,0.27848854165000314,sl,-71.49218966914576
ATOM,2026-02-18 12:00:00+00:00,2.435,1.0,2.6495563201504893,2.352427913938683,6188.25539751868,5.0,0.9715642333030701,0.9715642333030701,False,2.6,2026-02-23 16:00:00+00:00,True,2.512,2.48318736,2026-02-18 16:00:00+00:00,2.48318736,trailing_sl_hit,114.41756392251764
ICP,2026-02-18 16:00:00+00:00,2.26,-1.0,2.015392857142857,2.325228571428571,2808.860451900928,3.0,0.9433720111846924,0.9433720111846924,False,3.75,2026-02-23 20:00:00+00:00,True,2.226,2.25153222,2026-02-19 00:00:00+00:00,2.25153222,trailing_sl_hit,6.872734668014107
UNI,2026-02-18 20:00:00+00:00,3.403,1.0,3.6822637817831763,3.295525221317016,3745.1472692012376,3.0,0.9547401070594788,0.9547401070594788,False,2.6,2026-02-24 00:00:00+00:00,True,3.468,3.42822204,2026-02-19 00:00:00+00:00,3.42822204,trailing_sl_hit,22.889243968693865
OP,2026-02-18 20:00:00+00:00,0.1655,-1.0,0.13633040000000002,0.163005,2496.7648461341582,2.0,0.8626101016998291,0.8626101016998291,True,8.14,2026-02-24 00:00:00+00:00,True,0.1365,0.138065655,2026-02-19 12:00:00+00:00,0.138065655,trailing_sl_hit,410.63401339015496
DOT,2026-02-19 08:00:00+00:00,1.293,-1.0,1.141384,1.3116365714285714,3767.4687531787686,3.0,0.9518687725067139,0.9518687725067139,False,8.14,2026-02-24 12:00:00+00:00,True,1.26,1.2744522,2026-02-19 16:00:00+00:00,1.2744522,trailing_sl_hit,49.14579946867019
ICP,2026-02-19 08:00:00+00:00,2.201,-1.0,1.985,2.2586,4709.335941473461,5.0,0.9834161996841431,0.9834161996841431,False,3.75,2026-02-24 12:00:00+00:00,True,2.135,2.15948845,2026-02-19 20:00:00+00:00,2.15948845,trailing_sl_hit,82.6974154802067
OP,2026-02-19 16:00:00+00:00,0.1387,1.0,0.15917650595087007,0.1308196084532751,2741.535741881925,2.0,0.8698680400848389,0.8698680400848389,False,2.6,2026-02-24 20:00:00+00:00,True,0.1404,0.138789612,2026-02-20 00:00:00+00:00,0.138789612,trailing_sl_hit,-1.7927311371100296
