fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd,long_net_pnl_usd,short_net_pnl_usd,expectancy_usd,consistency_pct
1,142.66,3401.28,-11.77,289.055,4.706,39.45,2.41,109,9,28,14,0,58,283.53,-81.6,28,81,32.14,41.98,35.49,107.17,2.684,60603.423,7133.02,,,,
2,281.12,22625.22,-7.49,3019.448,5.779,47.96,4.6,98,12,24,14,0,48,382.11,-78.07,23,75,78.26,38.67,125.75,155.36,5.974,187660.653,14055.78,,,,
3,123.4,2412.66,-11.52,209.433,4.532,33.33,2.65,87,18,33,9,0,27,341.51,-66.68,40,47,35.0,31.91,28.61,94.78,2.511,53557.124,6169.78,,,,
4,197.18,7793.96,-9.61,811.215,6.265,41.84,3.79,98,21,33,16,0,28,326.71,-65.48,35,63,48.57,38.1,84.41,112.77,6.579,102592.693,9859.16,,,,
5,127.1,2583.92,-3.77,685.537,5.004,48.89,4.68,45,8,11,6,0,20,367.38,-78.52,14,31,57.14,45.16,51.78,75.32,8.684,168565.358,6354.91,,,,
6,108.89,2022.87,-13.02,155.337,4.32,33.73,2.46,83,15,42,11,0,15,327.18,-74.33,37,46,37.84,30.43,63.61,45.28,5.027,41816.098,5444.46,,,,
7,27.0,160.8,-29.81,5.394,1.926,34.33,1.43,67,14,37,4,0,12,195.61,-74.98,36,31,36.11,32.26,16.47,10.52,1.828,4528.03,1349.81,,,,
8,60.74,571.13,-9.87,57.839,3.81,38.1,2.46,42,11,19,7,0,5,319.83,-83.2,18,24,44.44,33.33,32.37,28.38,6.215,30772.265,3037.22,,,,
ALL,1068.08,,-29.81,,4.543,39.59,2.985,629,108,227,81,0,213,322.53,-74.53,231,398,43.72,37.19,,,4.938,81261.956,53404.14,21925.15,31478.99,82.65,100.0
