asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
POL,2026-03-03 04:00:00+00:00,0.1003,1.0,0.11043182622932865,0.09640076260266002,2500.0,2.0,0.8970640301704407,0.8970640301704407,False,2.6,2026-03-08 08:00:00+00:00,True,0.1025,0.10132432499999999,2026-03-03 16:00:00+00:00,0.10132432499999999,trailing_sl_hit,22.28153040877349
ADA,2026-03-04 04:00:00+00:00,0.265,1.0,0.28807331855586615,0.25612022407832663,3766.71114780658,3.0,0.930514395236969,0.930514395236969,False,2.6,2026-03-09 08:00:00+00:00,True,0.2743,0.271153779,2026-03-04 08:00:00+00:00,0.271153779,trailing_sl_hit,82.57311686799453
SUI,2026-03-04 12:00:00+00:00,0.9778,1.0,1.0745206268614902,0.9405770278707714,2552.427323638384,2.0,0.9022014737129211,0.9022014737129211,False,2.6,2026-03-09 16:00:00+00:00,True,0.9931,0.981709143,2026-03-04 16:00:00+00:00,0.981709143,trailing_sl_hit,6.886184226876701
TRX,2026-03-04 16:00:00+00:00,0.2877,1.0,0.29234020613023876,0.28591421480541995,6389.676039379557,5.0,0.9754500389099121,0.9754500389099121,False,2.6,2026-03-09 20:00:00+00:00,False,,,2026-03-05 00:00:00+00:00,0.28591421480541995,sl,-47.96799306491243
NEAR,2026-03-06 16:00:00+00:00,1.232,1.0,1.350559395162522,1.1863723691109587,2531.8864192193664,2.0,0.8613635897636414,0.8613635897636414,False,2.6,2026-03-11 20:00:00+00:00,True,1.247,1.23269691,2026-03-07 04:00:00+00:00,1.23269691,trailing_sl_hit,-1.8592307829573382
OP,2026-03-06 16:00:00+00:00,0.1199,1.0,0.13003182622932866,0.11600076260266003,1265.9432096096832,1.0,0.833723247051239,0.833723247051239,False,2.6,2026-03-11 20:00:00+00:00,False,,,2026-03-08 00:00:00+00:00,0.11600076260266003,sl,-42.81514323520053
POL,2026-03-07 16:00:00+00:00,0.0954,-1.0,0.0832048,0.09689902857142857,3796.4352057418314,3.0,0.9412000179290771,0.9412000179290771,False,8.14,2026-03-12 20:00:00+00:00,True,0.0933,0.094370151,2026-03-08 04:00:00+00:00,0.094370151,trailing_sl_hit,36.04739104802845
OP,2026-03-08 04:00:00+00:00,0.1148,1.0,0.12280329130720077,0.1117199301231096,2527.5729277343016,2.0,0.9099488258361816,0.9099488258361816,False,2.6,2026-03-13 08:00:00+00:00,True,0.1169,0.11555915700000001,2026-03-08 12:00:00+00:00,0.11555915700000001,trailing_sl_hit,13.428655900391535
ATOM,2026-03-08 12:00:00+00:00,1.727,-1.0,1.5626120000000001,1.7472065,2534.2872556844973,2.0,0.8510504961013794,0.8510504961013794,False,8.14,2026-03-13 16:00:00+00:00,False,,,2026-03-08 16:00:00+00:00,1.7472065,sl,-32.94661479428263
SUI,2026-03-08 20:00:00+00:00,0.88,1.0,0.9321278202429115,0.8599385874241899,6294.534870718389,5.0,0.981304407119751,0.981304407119751,False,2.6,2026-03-14 00:00:00+00:00,True,0.9081,0.8976840930000001,2026-03-09 00:00:00+00:00,0.8976840930000001,trailing_sl_hit,118.30930926525632
ATOM,2026-03-09 00:00:00+00:00,1.734,1.0,1.8174385689474124,1.7018886331983767,6442.42150729996,5.0,0.9787304997444153,0.9787304997444153,False,2.6,2026-03-14 04:00:00+00:00,True,1.764,1.74376692,2026-03-09 04:00:00+00:00,1.74376692,trailing_sl_hit,27.912404213565946
SUI,2026-03-10 12:00:00+00:00,0.9978,1.0,1.0873048934754768,0.9633540057650953,6477.3120125669175,5.0,0.970655620098114,0.970655620098114,False,2.6,2026-03-15 16:00:00+00:00,False,,,2026-03-10 16:00:00+00:00,0.9633540057650953,sl,-232.02989852329122
FIL,2026-03-10 16:00:00+00:00,0.874,-1.0,0.6960160000000004,0.8958777142857143,2474.9098557651214,2.0,0.8675335645675659,0.8675335645675659,False,8.14,2026-03-15 20:00:00+00:00,True,0.853,0.8627839100000001,2026-03-10 20:00:00+00:00,0.8627839100000001,trailing_sl_hit,28.543271288361602
FIL,2026-03-10 20:00:00+00:00,0.866,1.0,0.9581655621281364,0.8305300463645334,3733.772237113953,3.0,0.9327977299690247,0.9327977299690247,False,2.6,2026-03-16 00:00:00+00:00,False,,,2026-03-10 20:00:00+00:00,0.866,time,-3.733772237113953
