asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
NEAR,2024-11-26 08:00:00+00:00,6.112231731414795,1.0,6.799925763364187,6.172605967521667,4410.827180891045,3.0,0.9497683048248291,0.9497683048248291,True,2.57,2024-12-01 12:00:00+00:00,2024-11-27 08:00:00+00:00,6.799925763364187,tp,491.8562748448394,1
SUI,2024-12-01 00:00:00+00:00,3.365060806274414,1.0,3.5248278985928896,3.3754528880119326,1593.2397956748916,1.0,0.824633002281189,0.824633002281189,True,2.57,2024-12-06 04:00:00+00:00,2024-12-01 16:00:00+00:00,3.5248278985928896,tp,74.05094739001773,1
UNI,2024-11-27 12:00:00+00:00,12.89847183227539,1.0,14.213775233561746,12.990276908874511,1593.2397956748916,1.0,0.8055170178413391,0.8055170178413391,True,2.57,2024-12-02 16:00:00+00:00,2024-12-02 12:00:00+00:00,14.213775233561746,tp,160.8751323933648,1
SUI,2024-12-02 08:00:00+00:00,3.210026502609253,-1.0,2.7577440938949587,3.2656208555528097,3223.505065044792,2.0,0.8894907236099243,0.8894907236099243,False,8.14,2024-12-07 12:00:00+00:00,2024-12-02 12:00:00+00:00,3.2656208555528097,sl,-60.01834434761071,1
ADA,2024-12-02 12:00:00+00:00,1.2065197229385376,-1.0,0.9499111461639405,1.2380619353055955,4910.900188601503,3.0,0.947717010974884,0.947717010974884,False,8.14,2024-12-07 16:00:00+00:00,2024-12-02 16:00:00+00:00,1.2069677114486694,mss_invalidation,-8.20761897715914,1
LINK,2024-12-02 16:00:00+00:00,23.90398597717285,-1.0,18.63361604309082,24.55181751033238,3269.8296495790896,2.0,0.899024248123169,0.899024248123169,False,8.14,2024-12-07 20:00:00+00:00,2024-12-02 20:00:00+00:00,23.81458282470703,mss_invalidation,7.978691426695221,1
ICP,2024-12-02 20:00:00+00:00,13.76146411895752,-1.0,11.362793718065534,14.401109559195381,3683.0463697039922,3.0,0.9532659649848938,0.9532659649848938,False,3.75,2024-12-08 00:00:00+00:00,2024-12-03 00:00:00+00:00,13.766401290893555,mss_invalidation,-6.109319186792115,1
ATOM,2024-12-03 00:00:00+00:00,9.901582717895508,1.0,10.620046424438424,9.621657543438689,3270.764335699041,2.0,0.8971638679504395,0.8971638679504395,False,2.57,2024-12-08 04:00:00+00:00,2024-12-03 12:00:00+00:00,9.621657543438689,sl,-96.71895607696416,1
TRX,2024-12-03 16:00:00+00:00,0.30768531560897827,1.0,0.33287745660356327,0.3193136781454086,4833.607286490838,3.0,0.9490134716033936,0.9490134716033936,True,2.57,2024-12-08 20:00:00+00:00,2024-12-03 20:00:00+00:00,0.33287745660356327,tp,390.9243639144506,1
UNI,2024-12-03 20:00:00+00:00,15.158709526062012,-1.0,11.585587802886963,15.597916062423161,1708.9335198088922,1.0,0.8032702803611755,0.8032702803611755,False,8.14,2024-12-09 00:00:00+00:00,2024-12-04 08:00:00+00:00,15.291327476501465,mss_invalidation,-17.172441708231258,1
ATOM,2024-12-04 08:00:00+00:00,10.522765159606934,-1.0,8.099560340881348,10.820624420438493,3409.280818763669,2.0,0.916354238986969,0.916354238986969,False,8.14,2024-12-09 12:00:00+00:00,2024-12-09 12:00:00+00:00,9.246685981750488,time,410.02884103439,1
TRX,2024-12-09 12:00:00+00:00,0.29117316007614136,-1.0,0.2547484160661697,0.2875168055295944,3614.295239280864,2.0,0.8741027116775513,0.8741027116775513,True,8.14,2024-12-14 16:00:00+00:00,2024-12-09 20:00:00+00:00,0.2547484160661697,tp,448.5213989738755,1
TRX,2024-12-09 20:00:00+00:00,0.26267892122268677,-1.0,0.20919974064826966,0.26925255836333545,1919.2779693839009,1.0,0.8106825947761536,0.8106825947761536,False,8.14,2024-12-15 00:00:00+00:00,2024-12-10 08:00:00+00:00,0.26925255836333545,sl,-50.52570228123058,1
