asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ATOM,2023-10-30 12:00:00+00:00,7.563,-1.0,6.872488,7.647877428571428,6631.443755923618,5.0,0.9692568778991699,0.9692568778991699,False,8.14,2023-11-04 16:00:00+00:00,2023-10-30 16:00:00+00:00,7.564,mss_invalidation,-9.497704035408072,1
ATOM,2023-10-30 16:00:00+00:00,7.898,-1.0,7.029916,8.004704499999999,2636.6764957376163,2.0,0.8698462843894958,0.8698462843894958,False,8.14,2023-11-04 20:00:00+00:00,2023-10-30 20:00:00+00:00,7.898,mss_invalidation,-3.427679444458901,1
DOT,2023-10-30 20:00:00+00:00,4.525,-1.0,4.082924,4.579339785714286,6587.406640038467,5.0,0.9731740951538086,0.9731740951538086,False,8.14,2023-11-05 00:00:00+00:00,2023-11-01 16:00:00+00:00,4.36,mss_invalidation,231.64014940250186,1
ADA,2023-10-30 08:00:00+00:00,0.3006,-1.0,0.27806359999999997,0.3033701642857143,1327.15139959446,1.0,0.842544674873352,0.842544674873352,False,8.14,2023-11-04 12:00:00+00:00,2023-11-01 20:00:00+00:00,0.3009,mss_invalidation,-3.0497992142777477,1
POL,2023-11-01 20:00:00+00:00,0.6697,-1.0,0.56876,0.6821075,2749.2578311094994,2.0,0.8951826691627502,0.8951826691627502,False,8.14,2023-11-07 00:00:00+00:00,2023-11-02 00:00:00+00:00,0.6697,mss_invalidation,-3.574035180442349,1
AVAX,2023-11-01 16:00:00+00:00,11.97,1.0,13.095994973805642,11.536660381682175,6876.956826791595,5.0,0.983071506023407,0.983071506023407,False,2.6,2023-11-06 20:00:00+00:00,2023-11-02 12:00:00+00:00,11.536660381682175,sl,-257.90059913882527,1
FIL,2023-11-02 16:00:00+00:00,4.042,1.0,4.411939369465823,3.899628684945864,2618.5205139498657,2.0,0.877591073513031,0.877591073513031,False,2.6,2023-11-07 20:00:00+00:00,2023-11-03 16:00:00+00:00,3.899628684945864,sl,-95.63619172683703,1
ATOM,2023-10-30 20:00:00+00:00,8.105,-1.0,7.106724000000001,8.227707642857144,3952.4439840230807,3.0,0.9497519135475159,0.9497519135475159,False,8.14,2023-11-05 00:00:00+00:00,2023-11-05 00:00:00+00:00,8.092,mss_invalidation,1.2013381560321357,1
OP,2023-11-04 20:00:00+00:00,1.498,-1.0,1.2812880000000002,1.524638142857143,1285.3512090432237,1.0,0.8328647613525391,0.8328647613525391,False,8.14,2023-11-10 00:00:00+00:00,2023-11-05 00:00:00+00:00,1.499,mss_invalidation,-2.5290014376062357,1
LINK,2023-11-05 00:00:00+00:00,12.396,1.0,13.499219650138874,11.971425474150987,3855.0578796684904,3.0,0.9558103084564209,0.9558103084564209,False,2.6,2023-11-10 04:00:00+00:00,2023-11-05 12:00:00+00:00,11.971425474150987,sl,-137.0508920700255,1
