asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
ICP,2025-11-30 20:00:00+00:00,3.828,-1.0,3.3616071428571432,3.9523714285714284,3087.99211066119,3.0,0.9274595975875854,0.9274595975875854,False,3.75,2025-12-06 00:00:00+00:00,True,3.544,3.5846496800000005,2025-12-01 08:00:00+00:00,3.5846496800000005,trailing_sl_hit,192.29278587967073
FIL,2025-12-01 00:00:00+00:00,1.463,-1.0,1.2401080000000004,1.4903977857142858,2744.8818761432804,2.0,0.8584261536598206,0.8584261536598206,False,8.14,2025-12-06 04:00:00+00:00,True,1.444,1.46056268,2025-12-01 08:00:00+00:00,1.46056268,trailing_sl_hit,1.0045554710354365
NEAR,2025-11-30 20:00:00+00:00,1.805,-1.0,1.591996,1.79115,2744.8818761432804,2.0,0.8988321423530579,0.8988321423530579,True,8.14,2025-12-06 00:00:00+00:00,True,1.584,1.6021684800000002,2025-12-01 12:00:00+00:00,1.6021684800000002,trailing_sl_hit,304.87961098959687
SUI,2025-12-01 08:00:00+00:00,1.3502,-1.0,1.1383496000000002,1.3762405571428573,4396.385015428721,3.0,0.9344315528869629,0.9344315528869629,False,8.14,2025-12-06 12:00:00+00:00,True,1.3039,1.3188557330000001,2025-12-01 12:00:00+00:00,1.3188557330000001,trailing_sl_hit,96.34473929507867
ATOM,2025-12-01 12:00:00+00:00,2.171,-1.0,1.8871320000000003,2.205892928571428,7828.838796903712,5.0,0.9742932319641113,0.9742932319641113,False,8.14,2025-12-06 16:00:00+00:00,False,,,2025-12-01 16:00:00+00:00,2.205892928571428,sl,-136.00481099681693
POL,2025-12-01 12:00:00+00:00,0.1192,-1.0,0.10325560000000003,0.12115987857142857,4697.303278142228,3.0,0.9634019732475281,0.9634019732475281,False,8.14,2025-12-06 16:00:00+00:00,True,0.1168,0.11813969600000002,2025-12-01 16:00:00+00:00,0.11813969600000002,trailing_sl_hit,35.67680653562351
ARB,2025-12-01 12:00:00+00:00,0.1907,-1.0,0.16095360000000003,0.1943564142857143,3131.535518761485,2.0,0.9138245582580566,0.9138245582580566,False,8.14,2025-12-06 16:00:00+00:00,True,0.1863,0.188436861,2025-12-01 20:00:00+00:00,0.188436861,trailing_sl_hit,33.09261243806072
POL,2025-12-01 16:00:00+00:00,0.1182,1.0,0.1268631371330604,0.11486598819177023,1540.6857582654443,1.0,0.8358732461929321,0.8358732461929321,False,2.6,2025-12-06 20:00:00+00:00,True,0.1207,0.11931557100000001,2025-12-02 00:00:00+00:00,0.11931557100000001,trailing_sl_hit,12.538092880024422
UNI,2025-12-02 08:00:00+00:00,5.536,1.0,6.031310076379154,5.581499999999999,4656.280303784896,3.0,0.9502160549163818,0.9502160549163818,True,2.6,2025-12-07 12:00:00+00:00,True,6.039,5.96973267,2025-12-02 12:00:00+00:00,6.031310076379154,tp,411.94461436934546
LINK,2025-12-03 00:00:00+00:00,13.95,1.0,15.169650510379267,13.480617010782392,4965.238764561906,3.0,0.9579907655715942,0.9579907655715942,False,2.6,2025-12-08 04:00:00+00:00,True,14.7,14.531391,2025-12-03 12:00:00+00:00,14.531391,trailing_sl_hit,200.4803244137692
OP,2025-12-05 12:00:00+00:00,0.3124,1.0,0.3373464292873386,0.302799356660331,5115.5990078722325,3.0,0.9384936094284058,0.9384936094284058,False,2.6,2025-12-10 16:00:00+00:00,False,,,2025-12-05 16:00:00+00:00,0.302799356660331,sl,-163.8623195019947
APT,2025-12-05 16:00:00+00:00,1.741,-1.0,1.4468320000000003,1.7771590000000002,8321.170447076227,5.0,0.969751238822937,0.969751238822937,False,8.14,2025-12-10 20:00:00+00:00,True,1.719,1.7387169300000003,2025-12-05 20:00:00+00:00,1.7387169300000003,trailing_sl_hit,0.09449140708632559
TRX,2025-12-04 20:00:00+00:00,0.2862,1.0,0.29109563032089414,0.286735,5115.5990078722325,3.0,0.9565483927726746,0.9565483927726746,True,2.6,2025-12-10 00:00:00+00:00,True,0.2904,0.287069112,2025-12-06 16:00:00+00:00,0.287069112,trailing_sl_hit,8.884412012791529
