fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd,long_net_pnl_usd,short_net_pnl_usd,expectancy_usd,consistency_pct
1,24.27,122.79,-13.12,9.359,1.995,30.77,1.63,52,6,19,5,0,22,196.18,-53.49,1,51,100.0,29.41,4.83,19.44,0.0,9248.635,1213.42,,,,
2,83.81,843.49,-7.01,120.244,4.009,37.5,2.97,80,11,30,9,0,30,210.49,-42.48,7,73,57.14,35.62,6.21,77.6,8.196,59782.318,4190.74,,,,
3,31.65,175.62,-9.07,19.357,2.424,30.77,1.69,78,9,32,8,0,29,161.92,-42.66,7,71,42.86,29.58,-3.15,34.8,-7.652,17448.337,1582.56,,,,
4,234.03,8433.6,-13.12,642.972,4.643,43.9,3.17,82,16,32,11,0,23,474.89,-117.27,3,79,66.67,43.04,2.53,231.5,5.417,89188.563,11701.54,,,,
5,231.26,8175.27,-12.48,655.093,5.117,40.43,3.66,94,18,34,11,0,31,418.69,-82.02,14,80,57.14,37.5,7.82,223.44,4.102,92651.18,11562.87,,,,
ALL,605.02,,-13.12,,3.638,37.31,2.88,386,60,147,44,0,135,321.85,-67.34,32,354,56.25,35.59,,,2.013,53663.807,30251.13,911.98,29339.15,77.85,100.0
