asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
LINK,2024-12-07 00:00:00+00:00,26.745922088623047,-1.0,21.34753140258789,26.40190420150757,3644.405581031556,3.0,0.9422938227653503,0.9422938227653503,True,8.14,2024-12-12 04:00:00+00:00,2024-12-09 20:00:00+00:00,21.34753140258789,tp,731.9415682203362,1
TRX,2024-12-09 20:00:00+00:00,0.26267892122268677,-1.0,0.20919974064826966,0.26925255836333545,2795.574504797872,2.0,0.8626126646995544,0.8626126646995544,False,8.14,2024-12-15 00:00:00+00:00,2024-12-10 08:00:00+00:00,0.26925255836333545,sl,-73.59453262507745,1
ATOM,2024-12-10 12:00:00+00:00,7.570806503295898,-1.0,4.848248308181763,7.905462148291724,2758.7772384853333,2.0,0.8592826724052429,0.8592826724052429,False,8.14,2024-12-15 16:00:00+00:00,2024-12-10 20:00:00+00:00,7.905462148291724,sl,-125.53383777370544,1
UNI,2024-12-17 12:00:00+00:00,15.684985160827637,-1.0,12.796477653503418,16.04003922162737,2696.0103195984807,2.0,0.8983492255210876,0.8983492255210876,False,8.14,2024-12-22 16:00:00+00:00,2024-12-17 16:00:00+00:00,16.04003922162737,sl,-64.5332047155894,1
AVAX,2024-12-17 20:00:00+00:00,47.84920883178711,-1.0,39.15972328186035,47.21215744018555,1331.871858620343,1.0,0.8219587802886963,0.8219587802886963,True,8.14,2024-12-23 00:00:00+00:00,2024-12-19 16:00:00+00:00,39.15972328186035,tp,240.53798455888472,1
TRX,2024-12-19 16:00:00+00:00,0.2473035305738449,-1.0,0.20496526783704758,0.25250773103854485,1392.0063547600641,1.0,0.8400797843933105,0.8400797843933105,False,8.14,2024-12-24 20:00:00+00:00,2024-12-20 00:00:00+00:00,0.25250773103854485,sl,-31.10268022622599,1
SUI,2024-12-20 08:00:00+00:00,3.5311813354492188,-1.0,2.343674955368042,3.6771490926401955,4152.692054110523,3.0,0.961444079875946,0.961444079875946,False,8.14,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,3.6771490926401955,sl,-177.05752475583705,1
OP,2024-12-20 08:00:00+00:00,1.6358237266540527,-1.0,1.0217712826728822,1.71130278053454,4152.692054110523,3.0,0.9354774951934814,0.9354774951934814,False,8.14,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,1.71130278053454,sl,-197.00916174479508,1
APT,2024-12-21 12:00:00+00:00,9.913293838500977,-1.0,5.866925495147705,10.410671639374325,1290.7140130783496,1.0,0.8078399300575256,0.8078399300575256,False,8.14,2024-12-26 16:00:00+00:00,2024-12-26 16:00:00+00:00,8.943765640258789,time,124.94216598950025,1
APT,2024-12-26 20:00:00+00:00,8.806401252746582,-1.0,7.625304672241211,8.951581120218549,2643.8991091514495,2.0,0.8708332777023315,0.8708332777023315,False,8.14,2025-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00,8.951581120218549,sl,-47.023649927575285,1
SUI,2024-12-28 04:00:00+00:00,3.9832539558410645,-1.0,3.309153720855713,4.066114057540894,2620.387284187662,2.0,0.8547824621200562,0.8547824621200562,False,8.14,2025-01-02 08:00:00+00:00,2024-12-28 08:00:00+00:00,4.066114057540894,sl,-57.9160977026549,1
LINK,2024-12-28 04:00:00+00:00,21.06110954284668,-1.0,17.497920288085936,21.49909518459865,6550.968210469155,5.0,0.9764207005500793,0.9764207005500793,False,8.14,2025-01-02 08:00:00+00:00,2024-12-28 16:00:00+00:00,21.49909518459865,sl,-144.74982271836944,1
ATOM,2024-12-29 16:00:00+00:00,6.350666046142578,-1.0,5.667981430053711,6.434581336157662,2519.0543239771496,2.0,0.8968566656112671,0.8968566656112671,False,8.14,2025-01-03 20:00:00+00:00,2024-12-30 04:00:00+00:00,6.434581336157662,sl,-36.56059806421333,1
LINK,2024-12-30 12:00:00+00:00,20.298145294189453,-1.0,17.34528086090088,20.66111007976532,6251.935062362608,5.0,0.9850393533706665,0.9850393533706665,False,8.14,2025-01-04 16:00:00+00:00,2024-12-30 16:00:00+00:00,20.66111007976532,sl,-119.92257057036984,1
UNI,2025-01-02 04:00:00+00:00,14.090760231018066,-1.0,12.58152010345459,14.276275357655116,1220.406369829929,1.0,0.837226927280426,0.837226927280426,False,8.14,2025-01-07 08:00:00+00:00,2025-01-02 08:00:00+00:00,14.095503807067871,mss_invalidation,-1.9973712964886474,1
APT,2025-01-02 08:00:00+00:00,9.356019973754883,-1.0,8.372601085662842,9.476901387010303,2439.8140540116137,2.0,0.9013078212738037,0.9013078212738037,False,8.14,2025-01-07 12:00:00+00:00,2025-01-03 08:00:00+00:00,9.179574012756348,mss_invalidation,42.8408984604694,1
ATOM,2025-01-03 08:00:00+00:00,6.979310989379883,-1.0,6.149218664169312,7.081345569576536,3691.8517548627724,3.0,0.9595116972923279,0.9595116972923279,False,8.14,2025-01-08 12:00:00+00:00,2025-01-03 12:00:00+00:00,6.9795756340026855,mss_invalidation,-4.939396560577962,1
APT,2025-01-03 12:00:00+00:00,9.74766731262207,-1.0,8.667958213806152,9.880384675843375,3688.147207442339,3.0,0.9271329641342163,0.9271329641342163,False,8.14,2025-01-08 16:00:00+00:00,2025-01-03 16:00:00+00:00,9.754751205444336,mss_invalidation,-7.474867449309925,1
APT,2025-01-03 16:00:00+00:00,9.869104385375977,-1.0,8.829479175567627,9.996894654750824,3682.5410568553566,3.0,0.9662860035896301,0.9662860035896301,False,8.14,2025-01-08 20:00:00+00:00,2025-01-04 20:00:00+00:00,9.996894654750824,sl,-52.47075014511072,1
AVAX,2025-01-04 20:00:00+00:00,42.6832275390625,-1.0,37.87765107727051,43.2739268648965,2428.7919961643493,2.0,0.8606282472610474,0.8606282472610474,False,8.14,2025-01-10 00:00:00+00:00,2025-01-05 20:00:00+00:00,42.43097686767578,mss_invalidation,11.196321210978057,1
