fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd,long_net_pnl_usd,short_net_pnl_usd,expectancy_usd,consistency_pct
1,57.25,430.69,-9.02,47.747,3.775,35.29,1.96,68,13,27,6,0,22,243.21,-70.82,23,45,47.83,28.89,34.17,23.09,6.483,31737.211,2862.7,,,,
2,200.41,5671.1,-10.5,539.871,6.197,41.75,3.53,103,27,45,9,0,22,325.3,-69.61,48,55,43.75,40.0,109.93,90.47,6.318,95432.309,10020.39,,,,
3,55.36,407.56,-11.88,34.299,2.833,34.04,1.65,94,22,46,2,0,24,219.37,-72.06,39,55,46.15,25.45,23.79,31.57,2.615,23301.409,2768.21,,,,
4,299.47,16403.86,-19.22,853.643,5.131,43.56,2.93,101,24,40,10,0,27,516.93,-149.45,23,78,47.83,42.31,60.37,239.1,6.432,77905.336,14973.41,,,,
5,278.15,13382.2,-11.18,1197.088,4.919,36.94,3.25,111,26,49,9,0,27,489.74,-102.87,40,71,40.0,35.21,39.57,238.57,3.664,124395.073,13907.37,,,,
ALL,890.64,,-19.22,,4.571,38.57,2.772,477,112,207,36,0,122,378.64,-93.1,173,304,44.51,35.2,,,5.102,70554.268,44532.07,13392.02,31140.05,88.87,100.0
