asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold,strategy_version,confidence_thresh,tp_atr_mult,sl_atr_mult,rr_ratio_implied
UNI,2024-12-08 08:00:00+00:00,18.71664047241211,-1.0,14.404199997909961,18.452065992355347,1303.802700727139,1.0,0.7920259833335876,0.7920259833335876,True,8.13,2024-12-13 12:00:00+00:00,2024-12-10 16:00:00+00:00,14.404199997909961,tp,299.1011522199203,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-12-17 12:00:00+00:00,15.684985160827637,-1.0,12.7962837257798,16.040132321618945,2757.155977564238,2.0,0.8763821125030518,0.8763821125030518,False,8.13,2024-12-22 16:00:00+00:00,2024-12-17 16:00:00+00:00,16.040132321618945,sl,-66.01318665248417,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2024-12-17 20:00:00+00:00,47.84920883178711,-1.0,39.159139889867134,47.21215744018555,1362.074692118998,1.0,0.8407797813415527,0.8407797813415527,True,8.13,2024-12-23 00:00:00+00:00,2024-12-19 16:00:00+00:00,39.159139889867134,tp,246.0092668105078,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2024-12-19 16:00:00+00:00,0.2473035305738449,-1.0,0.20496242534385908,0.25250909565050933,1423.577008821625,1.0,0.8307867050170898,0.8307867050170898,False,8.13,2024-12-24 20:00:00+00:00,2024-12-20 00:00:00+00:00,0.25250909565050933,sl,-31.81594314173265,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2024-12-20 08:00:00+00:00,3.5311813354492188,-1.0,2.343595228931989,3.677187367366398,4246.869069108576,3.0,0.9524006843566895,0.9524006843566895,False,8.13,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,3.677187367366398,sl,-181.11896397390746,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
OP,2024-12-20 08:00:00+00:00,1.6358237266540527,-1.0,1.0217300566098229,1.7113225721664518,4246.869069108576,3.0,0.9489027857780457,0.9489027857780457,False,8.13,2024-12-25 12:00:00+00:00,2024-12-20 12:00:00+00:00,1.7113225721664518,sl,-201.52842530150306,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
APT,2024-12-21 12:00:00+00:00,9.913293838500977,-1.0,5.8666538313214005,10.410802058581375,1319.961175717339,1.0,0.8200629949569702,0.8200629949569702,False,8.13,2024-12-26 16:00:00+00:00,2024-12-26 16:00:00+00:00,8.943765640258789,time,127.7733151148183,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
APT,2024-12-26 20:00:00+00:00,8.806401252746582,-1.0,7.625225376144299,8.95161918834938,1351.9045044960437,1.0,0.8264747262001038,0.8264747262001038,False,8.13,2025-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00,8.95161918834938,sl,-24.05043930828907,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2024-12-28 04:00:00+00:00,3.9832539558410645,-1.0,3.3091084633226338,4.066135784583678,1345.8918946689714,1.0,0.794981837272644,0.794981837272644,False,8.13,2025-01-02 08:00:00+00:00,2024-12-28 08:00:00+00:00,4.066135784583678,sl,-29.754396985880124,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2024-12-27 08:00:00+00:00,0.2626870572566986,-1.0,0.24643276057582492,0.2620673716068268,2691.783789337943,2.0,0.8511797785758972,0.8511797785758972,True,8.13,2025-01-01 12:00:00+00:00,2025-01-01 12:00:00+00:00,0.2543625235557556,time,82.61064832896291,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-01-02 04:00:00+00:00,14.090760231018066,-1.0,12.58141877655771,14.276324002238105,2718.2119150094845,2.0,0.8711161613464355,0.8711161613464355,False,8.13,2025-01-07 08:00:00+00:00,2025-01-02 08:00:00+00:00,14.095503807067871,mss_invalidation,-4.448746410238735,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2025-01-02 08:00:00+00:00,14.312171936035156,-1.0,12.75315891118534,14.503842505618582,2715.9875418043653,2.0,0.8632400035858154,0.8632400035858154,False,8.13,2025-01-07 12:00:00+00:00,2025-01-03 12:00:00+00:00,14.475138664245605,mss_invalidation,-34.45660034193082,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
NEAR,2025-01-03 12:00:00+00:00,5.798431396484375,-1.0,5.154453691173172,5.877604290878837,4048.1388624501,3.0,0.950482189655304,0.950482189655304,False,8.13,2025-01-08 16:00:00+00:00,2025-01-04 00:00:00+00:00,5.821021556854248,mss_invalidation,-21.03376066444056,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2025-01-04 04:00:00+00:00,5.033047199249268,-1.0,4.343175257668958,5.117862493204274,4032.3635419517695,3.0,0.9462846517562866,0.9462846517562866,False,8.13,2025-01-09 08:00:00+00:00,2025-01-04 08:00:00+00:00,5.041311264038086,mss_invalidation,-11.863054336584058,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
