asset,direction,confidence,leverage,entry_price,take_profit,stop_loss,rr_ratio,atr_14,position_usd,entry_ts,max_hold_ts,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
FIL,-1,0.8312,1.0,0.871382,0.718054,0.890229,8.14,0.026582,100.0,2026-03-10T16:00:00+00:00,2026-03-15T20:00:00+00:00,True,0.853,0.8627839100000001,2026-03-10T20:00:00+00:00,0.862784,trailing_sl_hit,0.86
FIL,-1,0.8312,1.0,0.871382,0.718054,0.890229,8.14,0.026582,100.0,2026-03-10T16:00:00+00:00,2026-03-15T20:00:00+00:00,True,0.853,0.8627839100000001,2026-03-10T20:00:00+00:00,0.862784,trailing_sl_hit,0.86
FIL,1,0.9484,3.0,0.866,0.9574,0.830825,2.6,0.030672,100.0,2026-03-10T20:00:00+00:00,2026-03-16T00:00:00+00:00,True,0.884,0.87386052,2026-03-11T00:00:00+00:00,0.873861,trailing_sl_hit,0.78
OP,1,0.9503,0.9503,3.0,0.1175,0.124716,0.114723,2.6,0.002421,100.0,2026-03-12T12:00:00+00:00,2026-03-17T16:00:00+00:00,True,0.121,0.11961213,False,2026-03-12T16:00:00+00:00,0.119612,trailing_sl_hit,1.67
NEAR,1,0.9833,0.9833,5.0,1.368,1.462081,1.331793,2.6,0.031571,100.0,2026-03-12T20:00:00+00:00,2026-03-18T00:00:00+00:00,True,1.422,1.40568966,False,2026-03-13T00:00:00+00:00,1.40569,trailing_sl_hit,2.63
APT,1,0.9401,0.9401,3.0,0.927,0.991282,0.902261,2.6,0.021571,100.0,2026-03-12T04:00:00+00:00,2026-03-17T08:00:00+00:00,True,0.95,0.9391035,False,2026-03-13T04:00:00+00:00,0.939104,trailing_sl_hit,1.18
SUI,1,0.9773,0.9773,5.0,1.0251,1.095555,0.997986,2.6,0.023643,100.0,2026-03-13T00:00:00+00:00,2026-03-18T04:00:00+00:00,True,1.0449,1.032914997,False,2026-03-13T04:00:00+00:00,1.032915,trailing_sl_hit,0.63
LINK,1,0.9732,0.9732,5.0,9.29,9.811491,9.089304,2.6,0.175,100.0,2026-03-13T00:00:00+00:00,2026-03-18T04:00:00+00:00,True,9.6,9.489888,False,2026-03-13T12:00:00+00:00,9.489888,trailing_sl_hit,2.02
ARB,1,0.9731,0.9731,5.0,0.1043,0.110643,0.101859,2.6,0.002129,100.0,2026-03-13T00:00:00+00:00,2026-03-18T04:00:00+00:00,True,0.1073,0.10606926900000001,False,2026-03-13T12:00:00+00:00,0.106069,trailing_sl_hit,1.57
UNI,1,0.9772,0.9772,5.0,4.088,4.329802,3.994943,2.6,0.081143,100.0,2026-03-13T08:00:00+00:00,2026-03-18T12:00:00+00:00,True,4.209,4.16072277,False,2026-03-13T12:00:00+00:00,4.160723,trailing_sl_hit,1.65
DOT,1,0.8426,0.8426,1.0,1.45,1.541101,1.41494,2.6,0.030571,100.0,2026-03-14T00:00:00+00:00,2026-03-19T04:00:00+00:00,False,,,False,2026-03-14T16:00:00+00:00,1.434,mss_invalidation,-1.23
DOT,-1,0.8329,0.8329,1.0,1.413,1.240372,1.434219,8.14,0.029929,100.0,2026-03-14T16:00:00+00:00,2026-03-19T20:00:00+00:00,True,1.392,1.40796624,False,2026-03-15T00:00:00+00:00,1.407966,trailing_sl_hit,0.23
